split,instance,K,method,HV,IGD,PF_Overlap,PF_Drift,Diversity,Runtime
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_011,1.1029571027899046,0.025783431112475698,0.7511111111111112,0.03628841366190974,1.121534122019386,2.57177233
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_034,1.093538483665573,0.029247193938732655,0.6572222222222223,0.03899771526860729,1.1602604785377422,3.151905046666667
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_037,1.093538483665573,0.029247193938732655,0.6572222222222223,0.03899771526860729,1.1602604785377422,3.12565099
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_045,1.093538483665573,0.029247193938732655,0.6572222222222223,0.03899771526860729,1.1602604785377422,3.6570354366666673
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_047,1.093538483665573,0.029247193938732655,0.6572222222222223,0.03899771526860729,1.1602604785377422,4.8565983966666675
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_067,1.1038199040328849,0.021618574235634288,0.7677777777777778,0.03609077057901987,1.145589143852152,5.6292243766666665
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_076,1.1038199040328849,0.021618574235634288,0.7677777777777778,0.03609077057901987,1.145589143852152,3.8489046099999995
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_078,1.1038199040328849,0.021618574235634288,0.7677777777777778,0.03609077057901987,1.145589143852152,3.9024201033333337
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_084,1.0961445150790585,0.03247131842136284,0.6458333333333335,0.04167381487769563,1.1187125615196527,3.2344915299999997
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_086,1.0961445150790585,0.03247131842136284,0.6458333333333335,0.04167381487769563,1.1187125615196527,3.35321028
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_089,1.0961445150790585,0.03247131842136284,0.6458333333333335,0.04167381487769563,1.1187125615196527,4.539525113333332
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_118,1.0915592447143794,0.03974101343799622,0.6988888888888888,0.051550158504169545,1.1313197971085505,3.9947907900000006
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_131,1.0915592447143794,0.03974101343799622,0.6988888888888888,0.051550158504169545,1.1313197971085505,4.125969513333334
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_132,1.0915592447143794,0.03974101343799622,0.6988888888888888,0.051550158504169545,1.1313197971085505,3.762257973333333
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_144,1.0947345607098173,0.029496631210113023,0.7322222222222223,0.0459326133815965,1.1586479104780716,5.935552050000001
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_159,1.0947345607098173,0.029496631210113023,0.7322222222222223,0.0459326133815965,1.1586479104780716,4.483057496666668
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_164,1.0728829517877796,0.04776383752816514,0.4477777777777778,0.0507689547261536,1.1212725862445725,3.9108852000000005
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_170,1.0728829517877796,0.04776383752816514,0.4477777777777778,0.0507689547261536,1.1212725862445725,3.907426933333333
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_175,1.0728829517877796,0.04776383752816514,0.4477777777777778,0.0507689547261536,1.1212725862445725,4.403568643333333
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_189,1.0728829517877796,0.04776383752816514,0.4477777777777778,0.0507689547261536,1.1212725862445725,5.0170425100000005
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_200,1.0966205147490904,0.023482225308201394,0.788888888888889,0.03432629527051581,1.1913745349646594,10.006105849999999
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_223,1.098826141994033,0.027276676091998985,0.6830555555555555,0.045300917005457284,1.1326901404715273,9.352646790000001
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_234,1.098826141994033,0.027276676091998985,0.6830555555555555,0.045300917005457284,1.1326901404715273,9.376754313333333
validation,syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,5,theta_237,1.098826141994033,0.027276676091998985,0.6830555555555555,0.045300917005457284,1.1326901404715273,4.397549926666667
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_011,1.0136801085356806,0.018543670133824373,0.7955555555555556,0.04574822996238678,1.0086616153269958,2.7677810500000004
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_034,1.0121906265899896,0.015955305798718074,0.7647222222222222,0.044364020245952915,1.0970711696335351,3.367435413333333
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_037,1.0121906265899896,0.015955305798718074,0.7647222222222222,0.044364020245952915,1.0970711696335351,3.377234146666667
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_045,1.0121906265899896,0.015955305798718074,0.7647222222222222,0.044364020245952915,1.0970711696335351,3.911949163333334
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_047,1.0121906265899896,0.015955305798718074,0.7647222222222222,0.044364020245952915,1.0970711696335351,4.164356036666666
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_067,1.0136394450506592,0.017501483275999784,0.7744444444444446,0.04623462584164744,1.0251354208397616,5.195374803333334
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_076,1.0136394450506592,0.017501483275999784,0.7744444444444446,0.04623462584164744,1.0251354208397616,4.144718756666667
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_078,1.0136394450506592,0.017501483275999784,0.7744444444444446,0.04623462584164744,1.0251354208397616,4.423720583333333
validation,syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,5,theta_084,1.0216416146538414,0.012189354248738432,0.8144444444444444,0.0288538987244084,1.0932991830726555,3.6506677699999996
